Rank,username,Name,Category,Subscribers,Audience Country,Avg. Views,Avg. Likes
159,Super JoJo - Nursery Rhymes & Kids Songs,Super JoJo - Nursery Rhymes & Kids Songs,Animation,24400000,Other,556100,3200
160,davidguettavevo,David Guetta,Music & Dance,24400000,Brazil,144500,7000
161,LOENENT,1theK (원더케이),Other,24200000,Indonesia,17600,1500
162,NewOnNetflix,Netflix,MoviesAnimation,24000000,United States,370700,12100
163,postmalone,Post Malone,Music & Dance,24000000,United States,354800,15400
164,James Charles,James Charles,BeautyFashion,24000000,United States,787000,50300
165,Chloe Ting,Chloe Ting,FitnessHealth & Self Help,24000000,United States,204200,6300
166,NinjasHyper,Ninja,AnimationVideo games,24000000,United States,184200,9800
167,Masha y el Oso,Masha y el Oso,Animation,24000000,Other,985000,5600
168,Rans Entertainment,Rans Entertainment,Music & DanceHumor,24000000,Indonesia,861600,28800
169,adityacinema,Aditya Movies,Other,24000000,India,16300,296
170,Goldmines Dishoom,Goldmines Dishoom,Other,23900000,Other,32600,312
171,Raffy Tulfo in Action,Raffy Tulfo in Action,News & Politics,23600000,Philippines,600300,10900
172,Logan Paul,Logan Paul,Video gamesHumor,23600000,United States,0,0
173,Sandeep Maheshwari,Sandeep Maheshwari,Daily vlogs,23400000,India,1800000,109800
174,ChrisBrownTV,Chris Brown,Music & Dance,23400000,United States,794600,28500
175,ColdplayVEVO,Coldplay,Music & Dance,23400000,United States,43400,3800
176,Troom Troom,Troom Troom,AnimationToys,23200000,Other,459600,4400
177,DjSnakeTV,DJ Snake,Music & Dance,23200000,India,639200,34700
178,Diana and Roma HIN,Diana and Roma HIN,Other,23200000,Other,504900,3200
179,NickyJamTV,NickyJamTV,Music & DanceMovies,23200000,Colombia,138500,6900
180,TRANS7indonesia,TRANS7 OFFICIAL,Food & Drinks,23200000,Indonesia,4700,80
181,ABPLIVE,ABPLIVE,News & Politics,23200000,India,2200,23
182,Mister Max,Mister Max,DIY & Life Hacks,23000000,Russia,1700000,45400
